INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,INCLASS,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.4577618,0.4624330,0.4435891,0.4733742,0.4617063,0.4481673,0.5163695,03786951,42,D,41,D,1,1,D,,B,1,D,12,D,12,D,1,D,,A,3,D,4,D,0,D,42000,D,52569.845,0,D,3213,D,0,D,,A,0,D,12,D,0,D,0,D,42000,D,40,D,,A,0,D,674,D,155,D,870,D,200,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,1,1,,1,D,1,D,3,1,D,2,,1,10,2017,1,D,1,D,1,D,2,,A,,A,2,D,1,D,0,D,,,92940.304,93199.120,92345.595,95646.993,120519.910,,102194.548,79533.238,108631.192,,,101180.801,,108731.068,,,89436.388,141509.570,,115080.969,113403.472,,88093.980,,92327.405,73316.150,,,,96803.103,,,,,,87725.358,87717.385,113728.319,,105398.389,,,95.56000,37.56000,3.79000,0.00000,0.00000,0.00000,0.00000,2.49000,0.00000,0.00000,0.00000,0.00000,4.20000,1.00000,0.00000,2.49000,0.00000,5.61000,6.99000,10.99000,58.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.21922,0.00000,1,D,,A,7,D,07,12,D,378695,1,D,6,D,0,D,45386.4,D,44544,45804,46572,44388,45624,201,0.0,D,0,0,0,0,0,0,D,0,D,282.2,D,212,317,381,199,302,201,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,42000.0,D,42000,42000,42000,42000,42000,100,D,3386.4,D,2544,3804,4572,2388,3624,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,1,1
0.4736954,0.4787005,0.4818986,0.4720327,0.4865745,0.4502220,0.5207022,03786952,42,D,41,D,1,1,D,,B,1,D,12,D,12,D,1,D,,A,3,D,4,D,0,D,42000,D,52569.845,0,D,3213,D,0,D,,A,0,D,12,D,0,D,0,D,42000,D,40,D,,A,0,D,674,D,155,D,870,D,200,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,1,1,,1,D,1,D,3,1,D,2,,1,10,2017,1,D,1,D,2,D,2,,A,,A,2,D,1,D,0,D,,,92940.304,93199.120,92345.595,95646.993,120519.910,,102194.548,79533.238,108631.192,,,101180.801,,108731.068,,,89436.388,141509.570,,115080.969,113403.472,,88093.980,,92327.405,73316.150,,,,96803.103,,,,,,87725.358,87717.385,113728.319,,105398.389,,,104.48000,45.53000,2.58000,3.99000,0.00000,6.26000,0.00000,0.00000,12.75000,0.00000,3.75000,3.49000,0.00000,5.66000,0.00000,0.00000,0.00000,0.00000,3.06000,3.99000,58.95000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,07,12,D,378695,1,D,6,D,0,D,47239.2,D,44760,48756,46416,48768,47496,201,0.0,D,0,0,0,0,0,0,D,0,D,436.6,D,230,563,368,564,458,201,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,42000.0,D,42000,42000,42000,42000,42000,100,D,5239.2,D,2760,6756,4416,6768,5496,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35B,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,1,1
0.1310232,0.1225577,0.1424750,0.1571954,0.1740968,0.1371427,0.2557468,03786971,41,D,,A,1,2,D,01,D,1,D,12,D,,A,1,D,,A,4,D,6,D,0,D,15135,D,37226.509,0,D,918,D,0,D,,A,0,D,12,D,0,D,0,D,12000,D,25,D,,A,2400,D,348,D,80,D,435,D,100,D,,A,3,,1,D,,A,,A,735,D,0,D,2,D,0,D,14,D,5,,A,1,D,1,D,3,1,D,,A,1,10,2017,1,D,,A,1,D,1,,A,,A,,A,52,D,,A,,,65190.382,,,,,,77644.651,85530.788,72831.895,,71574.125,,,,62409.209,80444.301,81931.677,93250.557,68278.836,,81080.841,75887.552,74643.444,,,65092.410,,76069.095,,,75309.070,78585.646,,86289.115,79472.709,,74129.819,,74579.537,70831.325,,,29.63000,29.63000,0.00000,2.49000,6.73627,7.53297,5.72076,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.07000,1.79000,4.29000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,6,D,04,,D,378697,1,D,,A,0,D,15990.0,D,15488,17865,16561,16112,13924,301,0.0,D,0,0,0,0,0,0,D,0,D,200.0,D,200,200,200,200,200,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,12855.0,D,12353,14730,13426,12977,10789,301,D,2400.0,D,2400,2400,2400,2400,2400,735.0,D,735,735,735,735,735,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,7,4,1,
0.7066788,0.6965881,0.7019178,0.7061967,0.7057954,0.7044447,0.7573194,03786981,34,D,35,D,1,1,D,01,D,2,D,12,D,14,D,1,D,1,D,4,D,3,D,0,D,85000,D,47354.527,1200,D,6503,D,0,D,,A,0,D,,A,0,D,0,D,85000,D,40,D,40,D,0,D,,B,,B,,B,,B,,A,1,,2,D,,A,03,D,,A,0,D,2,D,0,D,07,D,4,1,,2,D,1,D,3,1,D,2,,1,10,2017,1,D,1,D,1,D,2,,A,,A,,A,52,D,52,D,,,,80300.164,79028.629,76536.968,,75333.114,,,,87749.891,87876.207,82422.247,84567.281,83266.390,,88503.955,86795.609,93325.800,,,78837.566,,73329.946,,,73638.881,77313.304,,77014.563,73740.071,,74161.605,,83309.286,77324.193,,,,79249.460,,,,99.71000,2.08000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.08000,0.00000,0.00000,0.00000,97.63000,0.00000,19.08000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,4,D,09,01,D,378698,,A,,A,0,D,85000.0,D,85000,85000,85000,85000,85000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,85000.0,D,85000,85000,85000,85000,85000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,5,2,2
0.7084399,0.6984842,0.7036790,0.7079579,0.7075565,0.7062059,0.7590805,03786982,34,D,35,D,1,1,D,01,D,2,D,12,D,14,D,1,D,1,D,4,D,3,D,0,D,85000,D,47354.527,1200,D,6503,D,0,D,,A,0,D,,A,0,D,0,D,85000,D,40,D,40,D,0,D,,B,,B,,B,,B,,A,1,,2,D,,A,03,D,,A,0,D,2,D,0,D,07,D,4,1,,2,D,1,D,3,1,D,2,,1,10,2017,1,D,1,D,2,D,2,,A,,A,,A,52,D,52,D,,,,80300.164,79028.629,76536.968,,75333.114,,,,87749.891,87876.207,82422.247,84567.281,83266.390,,88503.955,86795.609,93325.800,,,78837.566,,73329.946,,,73638.881,77313.304,,77014.563,73740.071,,74161.605,,83309.286,77324.193,,,,79249.460,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.90000,0.00000,0.00000,1,D,,A,4,D,09,01,D,378698,,A,,A,0,D,85000.0,D,85000,85000,85000,85000,85000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,85000.0,D,85000,85000,85000,85000,85000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,5,2,2
0.3204932,0.0755356,0.3283984,0.2057459,0.1429292,0.7036541,0.1124774,03786991,51,D,,A,1,5,D,01,D,7,D,14,D,,A,,A,,A,2,D,9,D,0,D,0,D,53893.496,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,435,D,100,D,435,D,100,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,,A,3,,A,,C,1,D,3,2,D,,A,1,10,2017,,A,2,D,1,D,2,,A,2,D,,A,0,D,,A,136656.196,,109646.399,89528.480,90734.828,,,,,,85278.478,,,,100392.088,98326.929,,116823.708,,84943.368,110509.883,,,121558.613,,,98927.568,,118352.927,,,92455.853,109892.943,126968.715,,109940.088,91149.596,102111.113,113539.604,129077.936,,,,95193.212,91.89000,82.82000,0.00000,9.95000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.43000,10.96000,0.00000,6.98000,0.00000,10.44000,0.00000,13.31000,2.89000,19.86000,9.07000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,06,12,A,378699,,A,,A,0,D,32665.8,D,84853,15604,20703,32687,9482,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,32665.8,D,84853,15604,20703,32687,9482,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,2,
0.2539304,0.3154872,0.2771991,0.0228561,0.2583472,0.4412284,0.0613296,03786992,51,D,,A,1,5,D,01,D,7,D,14,D,,A,,A,,A,2,D,9,D,0,D,0,D,53893.496,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,,A,,A,0,D,435,D,100,D,435,D,100,D,,A,3,,1,D,,A,,A,,A,0,D,0,D,0,D,,A,3,,A,,C,1,D,3,2,D,,A,1,10,2017,,A,2,D,2,D,2,,A,2,D,,A,0,D,,A,136656.196,,109646.399,89528.480,90734.828,,,,,,85278.478,,,,100392.088,98326.929,,116823.708,,84943.368,110509.883,,,121558.613,,,98927.568,,118352.927,,,92455.853,109892.943,126968.715,,109940.088,91149.596,102111.113,113539.604,129077.936,,,,95193.212,228.73000,222.41000,4.96000,5.54000,52.13000,6.48000,0.00000,0.00000,0.00000,2.64000,5.73000,15.62000,0.00000,8.93000,1.84000,7.92000,3.94000,20.97000,13.32000,72.39000,6.32000,0.00000,32.28000,0.00000,1.69000,0.00000,14.03000,35.01000,1,D,,A,0,D,05,12,A,378699,,A,,A,0,D,26010.0,D,43744,25587,2069,27647,31003,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,26010.0,D,43744,25587,2069,27647,31003,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,2,
0.1574308,0.0371770,0.2506543,0.0674857,0.0706088,0.4392083,0.0586885,03787001,35,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,3,D,7,D,0,D,0,D,37631.415,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,30,D,,A,0,D,304,D,70,D,326,D,75,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,09,D,4,,A,,C,2,D,3,2,D,,A,1,10,2017,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,,51823.655,84169.684,,79462.704,,,,93184.442,54622.399,53791.499,69544.008,85134.378,,93456.452,51969.527,75965.019,,,76052.057,,65002.081,,,64877.152,96376.919,,93374.501,121218.800,,110919.501,,67397.525,81341.677,,,,45843.327,,,,,,105320.773,53.04000,29.00000,9.50000,3.00000,0.00000,0.00000,0.00000,5.49000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.89000,0.89000,0.00000,2.02000,0.00000,4.21000,24.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,2,D,04,12,A,378700,,A,,A,0,D,17953.0,D,43548,8403,8569,25000,4245,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,17953.0,D,43548,8403,8569,25000,4245,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,2,
0.3942750,0.1866913,0.4254088,0.4335740,0.1425147,0.6542647,0.0028104,03787002,35,D,,A,1,4,D,01,D,1,D,13,D,,A,2,D,,A,3,D,7,D,0,D,0,D,37631.415,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,30,D,,A,0,D,304,D,70,D,326,D,75,D,,A,5,,1,D,,A,,A,,A,0,D,2,D,0,D,09,D,4,,A,,C,2,D,3,2,D,,A,1,10,2017,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,,51823.655,84169.684,,79462.704,,,,93184.442,54622.399,53791.499,69544.008,85134.378,,93456.452,51969.527,75965.019,,,76052.057,,65002.081,,,64877.152,96376.919,,93374.501,121218.800,,110919.501,,67397.525,81341.677,,,,45843.327,,,,,,105320.773,53.72000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,53.72000,0.00000,0.00000,0.00000,1.61000,0.00000,0.00000,0.00000,1,D,,A,2,D,06,12,A,378700,,A,,A,0,D,38833.6,D,75578,15601,41474,42315,19200,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,38833.6,D,75578,15601,41474,42315,19200,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,5,2,
0.5486889,0.5511767,0.5500737,0.5554526,0.5492565,0.5492179,0.6291924,03787011,54,D,,A,1,4,D,01,D,1,D,16,D,,A,3,D,,A,1,D,8,D,0,D,57505,D,41192.200,0,D,4399,D,0,D,,A,0,D,,A,0,D,0,D,57500,D,50,D,,A,0,D,283,D,65,D,304,D,70,D,,A,5,,1,D,300,D,,A,,A,0,D,0,D,0,D,02,D,1,,A,2,D,1,D,3,1,D,,A,1,10,2017,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,,,,73431.464,81149.572,91025.908,92727.439,82636.437,,83264.559,74771.827,74121.474,,,80559.907,,82595.991,,,78360.033,75877.496,,84675.190,91299.910,,79413.090,,77385.678,82333.541,,,,76869.236,,,,,,84247.615,87406.961,76494.843,,83526.315,,76.67665,53.01000,0.00000,6.28000,0.00000,0.00000,0.00000,5.40000,0.00000,0.00000,3.25000,0.00000,1.27000,5.48000,1.24000,0.00000,9.62000,0.00000,0.00000,20.47000,23.66665,9.08000,8.03335,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,08,13,D,378701,,A,,A,0,D,57505.0,D,57505,57505,57505,57505,57505,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,57500.0,D,57500,57500,57500,57500,57500,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35C,16,0,D,0,0,0,0,0,100,0,,A,,A,5,D,5,5,5,5,5,100,5,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,5,3,2,
